Institute,Course,Category,Mode,Level,Duration_Hours,Country,City,Certification_provided,Practice_Assignments,Doubt_Sessions,Internship_Provided,Placement_Assistance,rating,Recorded_videos,Trainer_Grade,Price
Institute of Industrial Design,Automotive,Non IT,Offline,Intermediate,360,India,Bangalore,Yes,Yes,Yes,Yes,Yes,4.6,Yes,High,124000
Basent Technology,AWS Devops and Lunix,IT,Both,Beginner,250,India,Bangalore,Yes,Yes,Yes,No,No,4,Yes,High,30000
Data Pro,Python,IT,Offline,Beginner,60,India,vishakapatnam,Yes,Yes,Yes,Yes,Yes,3.8,Yes,Medium,15000
Data Pro,Full Stack Java,IT,Offline,Beginner,540,India,vishakapatnam,Yes,Yes,Yes,Yes,Yes,4.3,No,High,45000
gnana IT Solutions,SQL Oracel and PLSQL,IT,Offline,Beginner,90,India,vishakapatnam,Yes,Yes,Yes,No,No,4,Yes,Medium,15000
Pace Institute,Auto Cad,Non IT,Offline,Beginner,45,India,Kakinada,Yes,Yes,Yes,No,No,4,No,High,3500
Pace Institute,C Programming,IT,Offline,Beginner,45,India,Kakinada,Yes,No,Yes,No,No,4.2,No,High,3500
Shri Shiridi sai institute,Data Science,IT,Online,Advance,60,India,vishakapatnam,Yes,Yes,Yes,Yes,Yes,4.2,Yes,High,50000
Pinnacle,Auto Cad,Non IT,Offline,Advance,150,India,vishakapatnam,Yes,Yes,Yes,No,No,3.5,No,Medium,8000
Pinnacle,3D designing,Non IT,Offline,Beginner,60,India,vishakapatnam,No,No,No,No,No,4,No,Medium,9000
Qspiders,Java,Non IT,Offline,Beginner,350,India,Bangalore,Yes,Yes,Yes,No,Yes,3.5,No,High,33000
Dreams Media solutions,Dot net developer,IT,Offline,Intermediate,20,India,Hyderabad,Yes,Yes,Yes,No,Yes,4,No,Medium,40000
Lucid IT Training,Python,IT,Both,Intermediate,30,India,Hyderabad,Yes,Yes,Yes,No,Yes,4.2,Yes,High,40000
Sulekha Institute,Python,IT,Both,Beginner,20,India,Hyderabad,Yes,Yes,Yes,No,Yes,4.1,Yes,High,40000
Sandsys Institute,Python,IT,Both,Beginner,20,India,Hyderabad,Yes,Yes,Yes,No,Yes,4.1,Yes,High,40000
SV Trainings,Python,IT,Both,Beginner,20,India,Hyderabad,Yes,Yes,Yes,No,Yes,4.1,Yes,High,40000
Simplilearn,Data Science,IT,Online,Beginner,6,india,bangalore,Yes,Yes,Yes,Yes,Yes,4.5,Yes,Low,10000
Alison,Python,IT,Online,Beginner,4,ireland,galway,Yes,Yes,Yes,No,No,4.1,No,High,5000
Udemy,Java Full Stack,IT,Online,Advance,12,united states,San Francisco,Yes,Yes,No,Yes,No,4.8,Yes,High,5000
Coursera ,C Programming,IT,Online,Beginner,6,united states,california,Yes,Yes,No,Yes,Yes,3.9,Yes,Medium,5000
ELearn InfoTech,Python with Django course,IT,Both,Intermediate,60,India,Hyderabad,Yes,Yes,Yes,No,Yes,4,Yes,High,40000
Livewire Institite,Data Science,DataScience,Offline,Beginner,60,India,Madurai,Yes,No,Yes,No,No,3.5,No,Medium,17000
Livewire Institite,Python,IT,Offline,Intermediate,60,India,Madurai,Yes,No,Yes,No,No,3.7,No,Medium,12500
Livewire Institite,SQL,IT,Offline,Intermediate,80,India,Madurai,Yes,No,Yes,No,No,3.2,No,Medium,9000
ACE,C Programming,IT,Offline,Intermediate,40,India,Madurai,Yes,No,No,No,No,3.1,No,Medium,7900
ACE,Java,IT,Offline,Intermediate,50,India,Madurai,Yes,No,No,Yes,No,3.5,No,Medium,8000
Simplilearn,PowerBI,DataScience,Online,Advance,24,India,Chennai,No,No,Yes,No,No,4.1,Yes,High,22500
ISC,CISSP,IT,Online,Advance,15,India,Chennai,No,No,Yes,No,No,4,Yes,High,100000
cisco,CCNA,Networking,Online,Advance,10,India,Madurai,No,No,Yes,No,No,4,Yes,High,22000
besant technologies,Web Design,IT,Online,Advance,90,India,Chennai,Yes,No,Yes,Yes,Yes,4.3,Yes,High,24999
,,,,,,,,,,,,,,,,
Coursera ,Data Science,IBM data science course certificate,Online,Beginner,8030,india,,Yes,Yes,Yes,No,No,4.6,Yes,High,0
Coursera ,Data analytics,IBM data analyst professional certificate,Online,Beginner,8030,india,,Yes,Yes,Yes,No,No,4.6,Yes,High,0
Great Learning,master machine learning in python,machine learning,Online,Advance,13,india,Chennai,Yes,Yes,Yes,No,No,NA,Yes,High,8000
IBM,Data Science,data science ML,Online,Beginner,40,india,Chennai,Yes,Yes,Yes,No,Yes,4.6,Yes,High,5935
Udemy,Python,python,Online,Beginner,14,india,,Yes,No,No,No,No,4.4,Yes,High,3399
NIIT,full stack software engineering,software engineering,Online,Advance,3024,india,,Yes,Yes,Yes,Yes,Yes,NA,Yes,High,150000
NIIT,Java developer program,software engineering,Online,Beginner,1176,india,,Yes,Yes,Yes,Yes,Yes,NA,Yes,High,50000
NIIT,salesforce development,software engineering,Online,Advance,2016,india,,Yes,Yes,Yes,Yes,Yes,NA,Yes,High,109000
NIIT,Data Science,data science,Online,Advance,1008,india,,Yes,Yes,Yes,Yes,Yes,NA,Yes,High,48000
NIIT,full stack product engineering,software engineering,Online,Advance,3696,india,,Yes,Yes,Yes,Yes,Yes,NA,Yes,High,199999
NIIT,full stack digital marketing programme,digital marketing,Online,Advance,3360,india,,Yes,Yes,Yes,Yes,Yes,NA,Yes,High,70000
NIIT,game development course,emerging technologies,Online,Advance,3360,india,,Yes,Yes,Yes,Yes,Yes,NA,Yes,High,110000
Simplilearn,Data Science,data science,Online,Advance,4380,,,Yes,Yes,Yes,Yes,Yes,NA,Yes,High,198004
360DigiTMG,Data Mining with Python,data science and business intelligence,Online,Beginner,40,india,hyderabad,Yes,Yes,Yes,Yes,Yes,5,Yes,High,12000
360DigiTMG,Data analytics,data science and business intelligence,Online,Intermediate,132,india,,Yes,Yes,Yes,Yes,Yes,5,Yes,High,
360DigiTMG,Data Science,data science and business intelligence,Online,Intermediate,184,india,,Yes,Yes,Yes,Yes,Yes,5,Yes,High,28000
360DigiTMG,Data Science and AI,data science and business intelligence,Online,Advance,300,india,,Yes,Yes,Yes,Yes,Yes,5,Yes,High,69620
360DigiTMG,data engineering,data science and business intelligence,Online,Advance,40,india,,Yes,Yes,Yes,Yes,Yes,5,Yes,High,25000
360DigiTMG,data visualization using tableau,data science and business intelligence,Online,Advance,30,india,,Yes,Yes,Yes,Yes,Yes,5,Yes,High,17700
360DigiTMG,core python,data science and business intelligence,Online,Advance,40,india,,Yes,Yes,Yes,Yes,Yes,5,Yes,High,17700
360DigiTMG,data visualization using Power BI training,data science and business intelligence,Online,Advance,30,india,,Yes,Yes,Yes,Yes,Yes,5,Yes,High,15000
360DigiTMG,executive programme in full stack data science,data science and business intelligence,Online,Advance,290,india,,Yes,Yes,Yes,Yes,Yes,NA,Yes,High,
360DigiTMG,Artificial Intelligence,AI and Deep Learning,Online,Advance,80,india,,Yes,Yes,Yes,Yes,Yes,5,Yes,High,47200
360DigiTMG,machine learning on AWS sagemaker,ML on cloud,Online,Advance,24,india,,Yes,Yes,Yes,Yes,Yes,5,Yes,High,28320
360DigiTMG,machine learning on azure,ML on cloud,Online,Advance,24,india,,Yes,Yes,Yes,Yes,Yes,5,Yes,High,28320
360DigiTMG,machine learning on GCP,ML on cloud,Online,Advance,24,india,,Yes,Yes,Yes,Yes,Yes,5,Yes,High,28320
360DigiTMG,ML on cloud & auto ML,ML on cloud,Online,Advance,24,india,,Yes,Yes,Yes,Yes,Yes,5,Yes,High,28320
Great Learning,Java,java,Online,Beginner,2,india,,No,No,No,No,No,4.46,No,Medium,0
Great Learning,front end development HTML,HTML,Online,Beginner,2,india,,No,No,No,No,No,4.49,No,Medium,0
Edureka,angular,frontend development,Online,Intermediate,36,india,,Yes,Yes,Yes,Yes,No,5,Yes,Medium,17995
Edureka,react js ,frontend development,Online,Intermediate,30,india,,Yes,Yes,Yes,Yes,No,5,Yes,Medium,16015
Edureka,Java,frontend development,Online,Intermediate,15,india,,Yes,Yes,Yes,Yes,No,5,Yes,Medium,8999
Edureka,jquery,frontend development,Online,Intermediate,15,india,,Yes,Yes,Yes,Yes,No,5,Yes,Medium,8999
Edureka,HTML,frontend development,Online,Beginner,10,india,,Yes,Yes,Yes,Yes,No,5,Yes,Medium,4499
Edureka,CSS,frontend development,Online,Beginner,10,india,,Yes,Yes,Yes,Yes,No,5,Yes,Medium,4499
Edureka,Data Science,data science,Online,Advance,36,india,,Yes,No,No,No,No,NA,Yes,High,89999
Edureka,Data analytics,data science,Online,Advance,30,india,,Yes,No,No,No,No,NA,Yes,High,59999
